i,Pref[i],Char[i],Used[i]
552,326,32,10
553,273,46,1
554,49,65,2
555,68,46,1
556,49,73,2
557,76,46,5
558,49,77,2
559,80,46,4
560,265,86,2
561,89,111,1
562,114,108,27
563,111,46,4
564,411,13,1
565,260,51,10
566,54,48,4
567,363,32,8
568,35,65,58
569,68,110,14
570,113,97,25
571,316,99,10
572,102,104,52
573,107,121,12
574,383,68,2
575,71,111,8
576,449,101,28
577,277,82,1
578,85,105,2
579,358,116,18
580,119,13,12
581,565,49,1
582,391,32,10
583,568,110,12
584,113,116,38
585,332,45,6
586,48,66,7
587,514,114,2
588,317,100,9
589,103,111,31
590,114,109,57
591,112,32,37
592,568,99,1
593,102,116,19
594,332,118,2
595,121,105,16
596,280,105,5
597,108,101,25
598,512,13,7
599,565,50,1
600,410,32,10
601,35,70,17
602,73,117,3
603,380,32,3
604,351,116,12
605,370,32,9
606,378,101,2
607,431,115,1
608,118,13,23
609,565,51,1
610,437,32,13
611,35,71,13
612,74,101,9
613,104,116,49
614,119,116,34
615,332,110,19
616,113,103,41
617,334,79,1
618,82,116,2
619,370,101,121
620,289,115,22
621,417,111,8
622,272,75,1
623,301,108,3
624,420,84,1
625,439,101,20
626,104,109,13
627,112,115,6
628,424,108,7
629,111,118,2
630,121,101,69
631,598,10,6
632,13,51,7
633,54,52,2
634,461,32,17
635,583,97,1
636,571,104,7
637,573,32,1
638,35,49,10
639,412,32,3
640,447,111,4
641,590,109,2
642,505,100,1
643,103,109,4
644,511,110,5
645,584,115,8
646,608,10,22
647,632,53,1
648,474,32,13
649,35,50,7
650,362,32,3
651,35,87,28
652,90,97,11
653,416,32,2
654,393,83,1
655,397,98,2
656,315,116,3
657,271,103,5
658,106,101,47
659,277,89,1
660,92,111,11
661,422,32,4
662,396,99,1
663,572,111,5
664,502,108,3
665,111,13,6
666,260,13,127
667,260,32,121
668,35,32,416
669,668,77,8
670,80,111,28
671,503,101,23
672,277,116,27
673,299,99,5
674,102,111,44
675,590,101,14
676,496,46,1
677,458,46,14
678,497,13,38
679,260,77,19
680,670,114,25
681,317,32,38
682,35,40,38
683,43,89,8
684,92,47,10
685,50,78,21
686,81,47,10
687,685,83,11
688,86,41,13
689,44,58,10
690,61,32,45
691,35,13,25
692,666,10,126
693,261,10,65
694,13,40,6
695,43,84,2
696,87,41,6
697,44,32,46
698,35,84,75
699,87,111,10
700,114,103,9
701,106,103,6
702,106,108,11
703,543,68,1
704,71,97,1
705,456,97,2
706,100,98,17
707,315,115,3
708,424,32,24
709,335,111,2
710,268,110,9
711,113,108,4
712,111,111,50
713,114,97,9
714,100,100,16
715,446,79,2
716,82,110,2
717,113,47,2
718,50,79,1
719,545,13,2
720,260,40,8
721,43,81,6
722,84,41,2
723,697,81,1
724,84,117,3
725,120,105,6
726,280,32,41
727,270,104,79
728,107,105,26
729,520,32,38
730,314,97,1
731,374,101,1
732,293,10,24
733,693,13,9
734,260,83,9
735,86,101,10
736,425,101,6
737,104,99,16
738,593,32,4
739,682,81,5
740,84,61,5
741,64,69,6
742,72,120,6
743,123,105,11
744,280,41,6
745,44,62,4
746,65,32,7
747,638,13,2
748,692,32,32
749,668,32,287
750,749,72,2
751,75,79,18
752,82,87,10
753,90,32,9
754,698,79,12
755,82,32,23
756,35,39,3
757,42,70,1
758,73,85,3
759,88,67,6
760,70,75,15
761,78,73,4
762,76,78,54
763,81,39,4
764,42,32,12
765,441,65,5
766,68,82,20
767,85,84,8
768,87,89,1
769,92,13,4
770,667,32,106
771,749,32,246
772,771,32,226
773,378,89,2
774,92,32,27
775,698,72,40
776,75,69,47
777,72,32,61
778,378,76,6
779,79,65,11
780,386,69,2
781,72,13,9
782,748,32,23
783,568,32,13
784,519,112,1
785,491,108,6
786,111,105,44
787,291,101,27
788,277,40,10
789,43,83,5
790,86,84,30
791,696,32,3
792,441,114,1
793,317,115,15
794,424,110,5
795,584,97,4
796,456,105,12
797,108,111,19
798,449,13,3
799,770,32,94
800,772,32,194
801,668,40,2
802,43,56,6
803,59,48,12
804,51,53,3
805,56,41,4
806,44,45,4
807,48,53,11
808,56,50,4
809,53,54,6
810,57,45,5
811,807,54,4
812,57,54,4
813,57,48,5
814,51,13,7
815,748,79,2
816,82,107,3
817,110,32,30
818,486,108,4
819,420,121,3
820,310,117,65
821,120,32,9
822,35,99,43
823,674,109,13
824,112,112,18
825,115,117,7
826,120,116,37
827,376,114,18
828,313,103,3
829,658,101,2
830,104,107,1
831,110,115,9
832,118,44,17
833,47,32,206
834,35,103,26
835,658,116,24
836,533,111,13
837,452,102,4
838,453,121,11
839,820,114,15
840,313,102,4
841,105,117,30
842,120,99,15
843,102,107,39
844,367,110,8
845,616,32,26
846,486,115,7
847,521,32,7
848,486,110,39
849,485,100,2
850,589,32,6
851,35,115,68
852,118,111,54
853,675,116,2
854,370,105,18
855,333,13,5
856,260,82,2
857,85,69,36
858,385,76,4
859,79,76,26
860,79,89,12
861,774,102,1
862,841,110,5
863,113,44,6
864,833,117,2
865,380,108,2
866,786,107,7
867,276,32,33
868,822,97,17
869,345,108,23
870,786,110,10
871,845,75,1
872,78,40,1
873,43,41,2
874,44,40,1
875,873,76,1
876,79,32,14
877,378,66,5
878,69,83,6
879,86,39,1
880,507,32,21
881,848,100,28
882,446,65,1
883,68,69,1
884,72,39,1
885,880,97,5
886,869,32,13
887,35,100,22
888,103,97,8
889,348,46,1
890,265,32,104
891,698,104,12
892,371,114,28
893,681,97,4
894,316,101,16
895,732,109,1
896,505,121,2
897,383,100,2
898,465,102,3
899,357,110,7
900,113,105,31
901,596,111,2
902,449,115,5
903,451,102,10
904,453,116,10
905,619,32,84
906,305,111,5
907,503,100,3
908,446,39,1
909,42,80,2
910,531,114,15
911,338,121,6
912,124,39,4
913,764,116,1
914,271,100,1
915,888,121,4
916,472,10,2
917,693,32,16
918,668,83,4
919,86,111,3
920,675,32,6
921,851,117,9
922,120,103,8
923,701,101,1
924,512,116,4
925,376,100,8
926,446,109,2
927,511,97,8
928,320,105,1
929,333,115,1
930,350,109,3
931,112,105,31
932,579,32,14
933,314,101,7
934,277,39,1
935,42,116,8
936,299,103,8
937,106,111,25
938,272,116,14
939,299,97,2
940,355,108,4
941,402,114,3
942,117,103,4
943,658,32,9
944,35,109,25
945,511,101,1
946,613,105,2
947,523,111,7
948,452,32,43
949,35,112,45
950,491,111,6
951,493,108,3
952,495,44,5
953,47,13,10
954,260,116,27
955,299,101,1
956,455,116,8
957,119,44,8
958,833,100,4
959,103,114,23
960,290,110,8
961,113,107,8
962,110,44,3
963,833,97,27
964,445,32,38
965,933,32,2
966,944,101,3
967,289,114,1
968,117,121,16
969,912,32,1
970,35,111,76
971,503,32,44
972,756,116,1
973,936,111,2
974,272,105,2
975,291,116,9
976,299,116,6
977,905,119,6
978,122,111,26
979,502,100,14
980,322,32,8
981,970,114,11
982,313,115,7
983,852,109,10
984,511,112,1
985,494,97,13
986,100,99,35
987,288,13,2
988,260,97,24
989,100,119,3
990,347,121,10
991,383,102,6
992,480,111,14
993,590,32,9
994,486,117,1
995,826,104,2
996,107,111,44
997,503,105,6
998,280,121,5
999,383,97,8
1000,964,115,8
1001,983,101,9
1002,277,97,30
1003,355,98,8
1004,101,111,46
1005,576,32,21
1006,682,97,1
1007,320,121,9
1008,897,114,1
1009,117,117,6
1010,922,115,2
1011,118,41,9
1012,44,44,6
1013,833,111,8
1014,971,32,1
1015,668,39,1
1016,42,84,3
1017,699,32,9
1018,834,101,3
1019,613,32,12
1020,601,85,1
1021,759,75,2
1022,761,78,2
1023,81,13,10
1024,954,111,6
1025,114,116,37
1026,399,108,9
1027,303,121,6
1028,383,119,8
1029,347,115,8
1030,375,101,10
1031,104,100,46
1032,446,97,11
1033,964,103,2
